,immu,immu_origin
"Cunninghamella_bertholletiae_16088464:Cunninghamella bertholletiae
",抑制,"immunosuppression immunosuppress im immunosuppression. of immunosuppression the setting of immunosuppression of immunosuppress the setting of immunosuppress of im compromised the setting of im of the setting of compromised hosts compromised hosts with a high mortality even when aggressive antifungal therapy and surgical intervention are utilized. compromised hosts with a high mortality even when aggressive antifungal therapy and surgical intervention are utilized compromised hosts with a high mortality even when aggressive antifungal therapy and compromised hosts with a high mortality even when aggressive antifungal therapy and surgical intervention are . Although these fungi are ubiquitous in the environment, they are opportunists causing invasive disease in compromised hosts"
"Cunninghamella_bertholletiae_16115110:Cunninghamella bertholletiae
",抑制,immunocompromised immunocompromised patients im postbone marrow transplant postbone marrow transplant patient transplant transplant patient graft-vs.-host disease post graft-vs.-host disease following bone marrow postbone marrow bone marrow postbone marrow transplant patient: patient marrow transplant graft-vs.-host disease following bone bone graft-vs.-host disease following bone ma marrow transplant patient: marrow transplant patient
"Cunninghamella_bertholletiae_16798251:Cunninghamella bertholletiae
",抑制,acute lymphoblastic leukemia lymphoblastic leukemia acute leukemia with acute lymphoblastic leukemia acute lymphoblastic acute lymphoblastic leuke acute lymphoblastic le acute l acute lymphob immunosuppression with acute lymphoblastic lymphoblastic leuke lymphoblastic le with acute lymph leuke with acute lymphoblastic le
"Cunninghamella_bertholletiae_17576314:Cunninghamella bertholletiae
",抑制,diabetic patient diabetic patient di haematological malignancies malignancies diabe haematological ma ma haematological maligna transplant recipients and patients with haematological malignancies maligna ha a diabetic patient haematological mali haematological recipients and patients with haematological malignancies mali transplant recipients and patients with haematological ma haemato
"Cunninghamella_bertholletiae_1780237:Cunninghamella bertholletiae
",none,"aplastic anemia severe aplastic anemia severe anemia, aplastic severe aplastic a anemia severe a aplastic anemia, aplastic an severe aplastic an aplastic anemia, due to pulmonary primoinfection and hem severe aplastic anemia, due to pulmonary primoinfection and hem ap aplastic anemia, due to pulmonary primoinfection and hemato severe ap severe aplastic anemia, due to pulmonary primoinfection and hemato with severe aplastic anemia an"
"Cunninghamella_bertholletiae_17909475:Cunninghamella bertholletiae
",抑制,acute lymphoblastic leukemia immunosuppressed acute immunosuppressed patients with a neutropenic treatment lymphoblastic leukemia leukemia. leukemia acute lymphoblastic leuke acute lymphoblastic le immunosuppressed patients with acute lymphoblastic leukemia immunosuppressed patients with a neutropenic treatment or a malignant neoplasia acute lymphoblastic acute l acute lymphob immunosuppressed patients with a neutropenic im immunosuppressed patients with a neutropenic treatment or a malignant immunosuppressed patients with a neutropenic treatment or a ma young girl with acute lymphoblastic leukemia
"Cunninghamella_bertholletiae_18339036:Cunninghamella bertholletiae
",抑制,"immunosuppressed im immunosuppressed hosts immunosup immunos immu immunosuppressed hosts. phased without surgical intervention.ABSTRACT:Mucormycosis is an uncommon fungal infection, which generally develops in immunosuppressed .ABSTRACT:Mucormycosis is an uncommon fungal infection, which generally develops in immunosuppressed hosts phased reduction of glucocorticoid therapy phased reduction female patient , phased after successful treatment with a cumulative dose of 1508 mg of amphotericin B, phased phased reduction of glucocorticoid therapy and phased reduction of glucocorticoid therapy and chest tube drainage of a pneumothorax, without the necessity for surgical intervention. phased reduction of glucocorticoid therapy and chest tube drainage of a pneumothorax, phased reduction of glucocorticoid"
"Cunninghamella_bertholletiae_18339037:Cunninghamella bertholletiae
",抑制,"immunocompromised immunocompromised state im haematopoietic stem cell transplantation transplantation. stem cell transplantation an immunocompromised leukaemia transplantation immunocom graft versus host disease after haematopoietic stem cell transplantation immunocomp after haematopoietic stem cell transplantation immuno cell transplantation leukaemia had taken oral prednisolone, 60 mg/day, for graft versus host disease after haematopoietic stem cell transplantation. haematopoietic stem cell transplant immu immunocomprom immunocompromised state was diagnosed. Ultra-thin bronchoscopy is useful to diagnose complex pulmonary infections and more"
"Cunninghamella_bertholletiae_18340546:Cunninghamella bertholletiae
",抑制,"leukaemic leukaemic patient le patient leukaem leukaemic patient. haematological malignancies leuka neutropenic patients affected by haematological malignancies neutropenic malignancies patient and review of recent published studies.ABSTRACT:Cunninghamella bertholletiae infection occurs most frequently in neutropenic neutropenic patients haematological ma patient and review of recent published studies.ABSTRACT:Cunninghamella bertholletiae infection occurs most frequently in neutropenic patients leukaemic patient and review of recent published studies.ABSTRACT:Cunninghamella bertholletiae infection occurs most frequently in neutropenic haematological ha haematological maligna malignancies,"
"Cunninghamella_bertholletiae_18923760:Cunninghamella bertholletiae
",抑制,acute lymphoblastic leukemia immunosuppressive immunosuppressive therapy acute lymphoblastic leukemia leukemia. leukemia leukemia.ABSTRACT:Zygomycosis acute lymphoblastic le acute lymphoblastic leuke acute lymphoblastic with acute lymphoblastic leukemia im acute l lymphoblastic leukemia. acute lymphob therapy acute lymph lymphoblastic le lymphoblastic leukemia.ABSTRACT:Zygomycosis
"Cunninghamella_bertholletiae_19386856:Cunninghamella bertholletiae
",none,". important high level of correlation (92.6%) between morphological and molecular identifications was found. important set of clinical isolates, received in a mycological reference center from different this study were to compare the results of the molecular identification of an important goals of this study were to compare the results of the molecular identification of an important important set of clinical isolates, received were to compare the results of the molecular identification of an important The goals of this study were to compare the results of the molecular identification of an important not well known. The goals of this study were to compare the results of the molecular identification of an important different regions of the United States, with those obtained by using the traditional morphological methods and to determine the spectrum of species involved. . The goals of this study were to compare the results of the molecular identification of an important different high level different regions of the United States, with those obtained by using the traditional morphological methods and this study were to compare the results of the molecular identification of an important set of clinical isolates, received in a mycological reference center from different this study this study were to a mycological reference center from different this reason, the actual spectrum of species of zygomycetes and their incidences in the clinical setting is not well known."
